,index,Fauna/Flora,Grupo,Família,Espécie (Simplificado),Nome Comum,Categoria de Ameaça,Sigla Categoria de Ameaça,Bioma,Principais Ameaças,Presença em Áreas Protegidas,Plano de Ação Nacional para Conservação (PAN),Ordenamento Pesqueiro ,Nível de Proteção na Estratégia Nacional,Espécie exclusiva do Brasil,Estados de Ocorrência_x,Estados de Ocorrência_y,lats_longs_animals
420,1083,Fauna,Peixes Marinhos,Epinephelidae,Epinephelus itajara,Mero,Criticamente em Perigo (CR),CR,Marinho,Agropecuária Aquacultura; Assentamento Humano:cidades; Extracao Direta:Caça/Pesca,Sim,Sim,Sim,2.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; RJ; RN; SE; SP,BA,[-44.89237022 -14.41334641]
421,1083,Fauna,Peixes Marinhos,Epinephelidae,Epinephelus itajara,Mero,Criticamente em Perigo (CR),CR,Marinho,Agropecuária Aquacultura; Assentamento Humano:cidades; Extracao Direta:Caça/Pesca,Sim,Sim,Sim,2.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; RJ; RN; SE; SP,CE,[-39.762138    -2.40138173]
422,1083,Fauna,Peixes Marinhos,Epinephelidae,Epinephelus itajara,Mero,Criticamente em Perigo (CR),CR,Marinho,Agropecuária Aquacultura; Assentamento Humano:cidades; Extracao Direta:Caça/Pesca,Sim,Sim,Sim,2.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; RJ; RN; SE; SP,ES,[-39.28671671 -18.54242358]
423,1083,Fauna,Peixes Marinhos,Epinephelidae,Epinephelus itajara,Mero,Criticamente em Perigo (CR),CR,Marinho,Agropecuária Aquacultura; Assentamento Humano:cidades; Extracao Direta:Caça/Pesca,Sim,Sim,Sim,2.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; RJ; RN; SE; SP,MA,[-44.60639922  -0.30793962]
424,1083,Fauna,Peixes Marinhos,Epinephelidae,Epinephelus itajara,Mero,Criticamente em Perigo (CR),CR,Marinho,Agropecuária Aquacultura; Assentamento Humano:cidades; Extracao Direta:Caça/Pesca,Sim,Sim,Sim,2.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; RJ; RN; SE; SP,PA,[-55.62131083   3.33577173]
425,1083,Fauna,Peixes Marinhos,Epinephelidae,Epinephelus itajara,Mero,Criticamente em Perigo (CR),CR,Marinho,Agropecuária Aquacultura; Assentamento Humano:cidades; Extracao Direta:Caça/Pesca,Sim,Sim,Sim,2.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; RJ; RN; SE; SP,PB,[-37.18190002  -7.82533243]
426,1083,Fauna,Peixes Marinhos,Epinephelidae,Epinephelus itajara,Mero,Criticamente em Perigo (CR),CR,Marinho,Agropecuária Aquacultura; Assentamento Humano:cidades; Extracao Direta:Caça/Pesca,Sim,Sim,Sim,2.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; RJ; RN; SE; SP,PE,[-39.80904503  -7.96495037]
427,1083,Fauna,Peixes Marinhos,Epinephelidae,Epinephelus itajara,Mero,Criticamente em Perigo (CR),CR,Marinho,Agropecuária Aquacultura; Assentamento Humano:cidades; Extracao Direta:Caça/Pesca,Sim,Sim,Sim,2.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; RJ; RN; SE; SP,PI,[-44.0527179   -7.27510599]
428,1083,Fauna,Peixes Marinhos,Epinephelidae,Epinephelus itajara,Mero,Criticamente em Perigo (CR),CR,Marinho,Agropecuária Aquacultura; Assentamento Humano:cidades; Extracao Direta:Caça/Pesca,Sim,Sim,Sim,2.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; RJ; RN; SE; SP,RJ,[-40.17421441 -20.92651562]
429,1083,Fauna,Peixes Marinhos,Epinephelidae,Epinephelus itajara,Mero,Criticamente em Perigo (CR),CR,Marinho,Agropecuária Aquacultura; Assentamento Humano:cidades; Extracao Direta:Caça/Pesca,Sim,Sim,Sim,2.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; RJ; RN; SE; SP,RN,[-37.65548973  -6.05459185]
