,index,Fauna/Flora,Grupo,Família,Espécie (Simplificado),Nome Comum,Categoria de Ameaça,Sigla Categoria de Ameaça,Bioma,Principais Ameaças,Presença em Áreas Protegidas,Plano de Ação Nacional para Conservação (PAN),Ordenamento Pesqueiro ,Nível de Proteção na Estratégia Nacional,Espécie exclusiva do Brasil,Estados de Ocorrência_x,Estados de Ocorrência_y
30,87,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla strinatii,Egla,Em Perigo (EN),EN,Mata Atlântica,Assentamento Humano:rurais,Sim,Sim,Não,1.0,Sim,PR; SP,PR
31,87,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla strinatii,Egla,Em Perigo (EN),EN,Mata Atlântica,Assentamento Humano:rurais,Sim,Sim,Não,1.0,Sim,PR; SP,SP
32,88,Fauna,Invertebrados Aquáticos,Aeglidae,Aegla violacea,Egla,Em Perigo (EN),EN,Pampa,Agropecuária; Especies Exoticas; Poluição,Sim,Sim,Não,1.0,Sim,RS,RS
33,102,Fauna,Peixes Continentais,Pimelodidae,Aguarunichthys tocantinsensis,Bagre,Em Perigo (EN),EN,Amazônia; Cerrado,Outras Atividades Econômicas:Energia,Sim,Sim,Não,2.0,Sim,MT; PA; TO,MT
34,102,Fauna,Peixes Continentais,Pimelodidae,Aguarunichthys tocantinsensis,Bagre,Em Perigo (EN),EN,Amazônia; Cerrado,Outras Atividades Econômicas:Energia,Sim,Sim,Não,2.0,Sim,MT; PA; TO,PA
35,102,Fauna,Peixes Continentais,Pimelodidae,Aguarunichthys tocantinsensis,Bagre,Em Perigo (EN),EN,Amazônia; Cerrado,Outras Atividades Econômicas:Energia,Sim,Sim,Não,2.0,Sim,MT; PA; TO,TO
36,136,Fauna,Peixes Marinhos,Alopiidae,Alopias superciliosus,Tubarão-raposa,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,4.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; RS; SC; SE; SP,AL
37,136,Fauna,Peixes Marinhos,Alopiidae,Alopias superciliosus,Tubarão-raposa,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,4.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; RS; SC; SE; SP,AP
38,136,Fauna,Peixes Marinhos,Alopiidae,Alopias superciliosus,Tubarão-raposa,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,4.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; RS; SC; SE; SP,BA
39,136,Fauna,Peixes Marinhos,Alopiidae,Alopias superciliosus,Tubarão-raposa,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,4.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; RS; SC; SE; SP,CE
40,136,Fauna,Peixes Marinhos,Alopiidae,Alopias superciliosus,Tubarão-raposa,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,4.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; RS; SC; SE; SP,ES
41,136,Fauna,Peixes Marinhos,Alopiidae,Alopias superciliosus,Tubarão-raposa,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,4.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; RS; SC; SE; SP,MA
42,136,Fauna,Peixes Marinhos,Alopiidae,Alopias superciliosus,Tubarão-raposa,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,4.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; RS; SC; SE; SP,PA
43,136,Fauna,Peixes Marinhos,Alopiidae,Alopias superciliosus,Tubarão-raposa,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,4.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; RS; SC; SE; SP,PB
44,136,Fauna,Peixes Marinhos,Alopiidae,Alopias superciliosus,Tubarão-raposa,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,4.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; RS; SC; SE; SP,PE
45,136,Fauna,Peixes Marinhos,Alopiidae,Alopias superciliosus,Tubarão-raposa,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,4.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; RS; SC; SE; SP,PI
46,136,Fauna,Peixes Marinhos,Alopiidae,Alopias superciliosus,Tubarão-raposa,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,4.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; RS; SC; SE; SP,PR
47,136,Fauna,Peixes Marinhos,Alopiidae,Alopias superciliosus,Tubarão-raposa,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,4.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; RS; SC; SE; SP,RJ
48,136,Fauna,Peixes Marinhos,Alopiidae,Alopias superciliosus,Tubarão-raposa,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,4.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; RS; SC; SE; SP,RN
49,136,Fauna,Peixes Marinhos,Alopiidae,Alopias superciliosus,Tubarão-raposa,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,4.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; RS; SC; SE; SP,RS
50,136,Fauna,Peixes Marinhos,Alopiidae,Alopias superciliosus,Tubarão-raposa,Vulnerável (VU),VU,Marinho,Extracao Direta:Caça/Pesca,Sim,Sim,Sim,4.0,Não,AL; AP; BA; CE; ES; MA; PA; PB; PE; PI; PR; RJ; RN; RS; SC; SE; SP,SC
